Key	Value
正面无表情的赶路	Walking indifferently
\r\n[简介]	\r\n[Intro]
重载Thing	Reload Thing
建筑类型非法	Illegal building type
未知物品	Unknown Item
该角色同时激活的符咒最多只能有{0}个！	This character can only have {0} talismans active at the same time!
帮助	Help
正常	Ordinary
你的信仰圣物已经遗失。	Your sacred relic is lost.
已复制结束{0}个文件	{0} files copy finished
境界:{0} 或 {1}	State: {0} or {1}
归属感：{0:0}	Loyalty: {0:0}
真炁消耗\n在启用该秘体时，会持续的消耗真炁。	True Qi Consumption\nThe amount of True Qi you continuously consume when this Secret Body is activated.
护法[color=#{3}][{0}·{1}][/color]降临并答应为{2}提供庇护！\n{4}	Guard [color=#{3}][{0} {1}][/color] descended and promised to shelter {2}!\n{4}
({0:P2})[未显现]	({0:P2})[Not Appeared]
成功劝化{0}，{0}进入{1}神国并成为核心信徒	Successfully persuaded {0}; {0} entered {1}'s Divine Realm and became a core follower.
点击打开角色属性面板	Click to open the Character Stats menu.
规划路线	Plan Route
渲染效果调整后，需要重启游戏才会生效	Rendering effect changes can only take effect after restart the game.
物品	Item
需要先启用太始/太终/太虚/太真中任意一个天道！	Need to enable any one of Taishi/Taizhong/Taixu/Taizhen first!
吞食	Devour
装备道具:{0}	Equipped Items: {0}
多选相似	Multi select
锻造	Forging
删除此物品。	Delete this item.
已然圆满，不可突破。	No breakthrough for an attained mind.
地图编辑	Map Edit
地板	Floor
道淬成功率：{0}	Tao refine success rate: {0}
该秘籍已被锁定	This manual has been locked.
装备或者拾取一个道具	Equip or pick up an item
可分配点数不足	Not enough points
一个特性	One Trait
江湖秘闻	Worldly Secret
妖兽	monster
未下载	Not downloading
[align=center](淬体法)[	[align=center](Remold)[
\n前置条件：{0}	\nPrerequisites: {0}
取消订阅	Unsubscribe
打开看看里面放的是什么	Open it to see what's inside.
蕴养中，剩余:{0}天	Being nurtured. Remaining: {0}d
没有吞食建筑材料的能力	Unable to devour building materials.
动物	Animal
刚完成今天的修行	Just finished today's meditation
已阅	Read
拥有交易区才可以交易	Trading is unavailable without a trade area
部位拥有词条个数已达最大数量	Maximum number of entries available for this part has been reached.
搬运中	Being transported
心境层次对神国面积的影响。	The effect of the mental state on the size of the Divine Realm.
目标名与云端文件冲突，请使用其他命名。	The target name conflicts with the cloud file. Please use a different name.
[color=#9e6404]相关工作：[/color]\n屠宰\n狩猎\n探索	[color=#9e6404]Related work:[/color]\nButchering\nHunting\nExploring
心咆意哮	Raging Anger
选择属性	Select Stats
[color=#9e6404]相关工作：[/color]\n锻造物品\n搬运锻造原料	[color=#9e6404]Related work:[/color]\nForging items\nTransporting forging materials
在制药时，正快乐的哼着小调	Making medicine while humming a cheerful tune
宗	Order
确定要对{0}施展吗？这将会导致死亡。	Do you want to use {0}? This will lead to certain death.
房间内生效，受房间内建筑和物品的品阶影响。	Effective in rooms. Affected by the tier of the buildings and items in the room.
{0}的的瓶颈即将松动，暂时不宜外出历练。	{0}'s limit is increased. This is not the time for them to adventure.
混元	Hybrid
垂钓提竿	Catch Fish
可以预见，你对此人的劝化如[color=#ffffff]对牛弹琴[/color]，完全没用	Your persuasion is going to be [color=#ffffff]preaching to deaf ears[/color] to this person, completely meaningless.
停留	Stay
是否确定开始思考，该次思考将不会产生任何思绪，并将清除所有未记忆的思绪片段	Are you sure you want to start Thinking? This Thinking will not generate any Thoughts, and will cause all unremembered Thought Shards to be cleared.
石材	Stones
兽	Beast
在逃亡途中，你们不幸被追杀的敌人找寻到，生死关头，一名青山高冠的仙人从天而降，飞剑如电，瞬间将追兵斩杀。\n  你们刚准备拜谢救命之恩，那名仙人就挥手阻止了你们，而后连说三声真像，便留下一封信笺，化光而去……	The enemies caught up to you as you were escaping and as they were slaughtering your men one after another, a radiant immortal descended from Heaven. His sword flashed like lightning and the enemy fell to the last man.\n  As you prepared to prostrate yourself in thanks to this stranger, he raised a hand to stop you. After which he muttered an incantation and left you letter, only to disappear in a flash of light…
将该思绪片段加入思考	Add this Thought Shard into Thinking
除魔	Exorcise
房间影响\n房屋内家具设施的品阶高低。	Room Quality\nThe quality level of the room's furniture and facilities.
将一个外门弟子晋升内门	Promote an outer disciple to inner disciple.
[color=#9e6404]相关工作：[/color]\n烹饪\n搬运烹饪原料	[color=#9e6404]Related work:[/color]\nCooking\nTransporting cooking ingredients
欲圣中求慧，必须保持心境400，持续{0:N1}天。角色悟性越高，需要持续的时间越短。	To seek a 'wise' mind, keep the mental state at 400 for {0:N1} days. The greater the character's intelligence, the faster it is to achieve the mental state.
夏意	Summer
传授	Teach
{2}\n\n所需境界:{3}{4}\n<font color=#CCFF66>{0}</font>\n{1}	{2}\n\nRequired State: {3}{4}\n<font color=#CCFF66>{0}</font>\n{1}
符咒	Talisman
检测到有商品未能成功发货,现已进行补发:{0}\n谢谢大爷!	Detected that some items failed to be delivered successfully, they have now been resent: {0}\nThank you!
{0}代理点	{0} Proxy Point
\n聚灵: 	\nGather Qi: 
\n[color=#FF0000]此角色在其他地方心境有亏，此时心境已达极致，无法圆满。[/color]	\n[color=#FF0000]This character's mental state is not complete in other aspects. Now it has reached its limit and cannot be attained.[/color]
古卷	Ancient Scroll
{0}，竟重达{1:f1}斤！！！	{0}, and it is {1:f1} kg!
垂钓翁	Fisher Elder
堂主	Branch Leader
房间内生效，受房间光照影响。	Effective in rooms. Affected by the lighting in the room.
\n削减最大灵气：{0:N0}({1:N0})	\nReduce Max Qi: {0:N0}({1:N0})
{0}已激活!\n谢谢大爷!	{0} activated!\nThank you!
此经历不可改变	This experience cannot be changed.
不限制	Unrestricted
{0}(第{1}重)\n	{0}({1}th layer)\n
大	Large
[击败模式]	[Defeat Mode]
休息	Rest
(被选择)	(Selected)
PayMgr-> 找不到ID为{0}商品的{1}折价格信息	PayMgr-> Unable to Find Discount Price for Item ID {0} at {1}% Off
多次灵淬	Multiple Spiritual Refinement
这个秘籍已有录入命令	This manual has been ordered to be transcribed.
竟有外道入侵！快迎敌！	We are being attacked! Let's fight back!
淬体	Remold
你的门派声望已经达到{0},来袭的敌人强度会随之提升，请做好防范！	Your sect reputation has reached {0}, according to which the Power of enemies will improve. Get prepared!
点击选择信仰对象\n信仰对象必须是神道修行者	Click to select the person you want to believe in.\nIt has to be a pantheon cultivator.
生存目标	Aim
\n该存档版本号过低，可以轮回开局。\n	\nThe version of this save is too low but you can start a new round by reincarnating.\n
护法	Guard
信仰\n信仰可以通过前往天下主动获取，或者建立神庙来自动获取，核心信徒也会提供可观的信仰收益。	Belief\nBeliefs can be obtained via entering the world and building temples. Core followers will also provide a considerable amount of beliefs.
同意	Agree
死亡弟子：{0}	Deceased Disciples: {0}
{0}获得{1}点信仰	{0} obtains {1} beliefs.
妙趣	Witty
此人灵魂特殊，无法劝化。	This person's soul is too special to persuade.
收徒	Apprentice
对话	Dialogues
食用	Eat
 正在上传中，请耐心等待...\n	 Uploading, please be patient…\n
邪	Evil
更新MOD信息...	Updating mod info…
未拥有	Unavailable
开采这个矿石	Mine this ore.
姓名:{0}\n{1}\n{2}	Name: {0}\n{1}\n{2}
\n灵气最大值不够：{0:F0}/{1:F0}	\nToo low Max Qi: {0:F0}{1:F0}
外门弟子	Outer Disciples
效果	Effect
利用拖动屏幕来移动摄像头。	Drag on the screen to move the camera.
随机生成一本秘籍	Generate a random manual.
男性	Male
<font color=#FF0000>蓝图中存在失落之物！\n</font>	<font color=#FF0000>Lost item in the blueprint!\n</font>
灵智碎片，可通过一条理智，认知，感知类型的思绪合成。	Intelligence Shard, can be synthesized with a Thought of Realization, Rationality and Perception.
将一名信仰程度达到100%的核心信徒永久转化为护法。\n消耗信仰：{2}{0:N0}/{1:N0}{3}	Permanently transform a core follower with a 100% belief into a guard. \nBelief Cost: {2}{0:N0}/{1:N0}{3}
随机符咒	Random Talisman
【{0}】赢得竞拍	[{0}] won the auction item.
省电	Power saving
[align=center]寿元天劫[/align]\n已渡次数:{0}\n可渡次数:{1}\n\n[color=#D06508]年龄每达千数，便可与冥冥之中感悟天道对寿元之限制。若修成元神，便可运转元神引动天机，以渡寿元之天劫。[/color]	[align=center]Lifespan Tribulation[/align]\nTimes of survival: {0}\nTribulations Left: {1}\n\n[color=#D06508]For every 1,000 years of age, the character will have an epiphany of the lifespan restriction from the Creed of Heaven. If the character has cultivated a primordial soul, they can use it to gain insight into the mystery of nature to survive the Lifespan Tribulation.[/color]
请调息片刻静待下次评论	Please take a break for your next comment.
休养	Patient
食用给与	Feed
手选单位	Primary Unit
冷漠	Withdrawn
CloudSave->存档压缩文件上传失败:{0}	CloudSave->Save Compression File Upload Failed: {0}
阵眼:{0}\n\n	Auxiliaries: {0}\n\n
灵智碎片：\n{2},{3},{4}\n	Intelligence Shard: \n{2},{3},{4}\n
选择要炼制的秘宝	Select a Legacy Artifact to craft.
无法结阵	Unable to form formation
勉强	Amateur
未知境界	Unknown State
感谢道友的耐心等待与不离不弃。\n在此为你送上【红尘乱世】与【上古巨兽】扩展包。\n欢迎来到修仙世界。	Thank you for your patience and steadfast support.\nWe are pleased to offer you the [Immortals and Mortals] and [Ancient Beasts] DLCs.\nWelcome to the World of Cultivation.
CloudSave->找到旧存档:{0}	CloudSave->Found old Save:{0}
经脉	Meridians
功法秘籍	Law Manual
灵性澎湃	Major Blessing
正专心练习秘法	Concentrating on practicing a secret Law
在练习御剑之时，正因法宝太快而苦恼	Training sword mastery; annoyed over artifacts
请选择数量！	Please select the amount!
一件以{2}为主材料的{0}炼制成的{1}阶法宝。	A Tier {1} artifact crafted by {0}, using {2} as its main material.
正心不在焉的练习御剑中	Training sword mastery absent-mindedly
神秘杀手	Mysterious Assassin
位于炼丹炉之侧	and Located next to the Alchemy Furnace
信徒数量对神国面积的影响。	The effect of the number of followers on the size of the Divine Realm.
胖	Plump
赐你[color=#ff0000]太阳符[/color],此物可让你无视寒冷。速去速回。	Take this [color=#ff0000]Talisman of Supreme Yang[/color]. It will make you impervious to the cold. Please, hurry.
无心工作，正想偷懒	Slacking; doesn't want to work
以下模组需要 {0} 作为前置模组:{1}	The following mods require mod {0}: {1}
初入仙道	Immortal Newbie
{0}在淬炼{1}时，突然感悟到体内远古的血脉被唤醒了。	When remolding {1}, {0} felt a sudden awakening of ancient bloodline inside body.
{0} 战胜了 {1}	{0} beat {1}
第{0}轮竞拍	Round {0}
精怪吞噬	Sentient Spirit Devouring
需要先选择游戏模式！	Need to select a game mode first!
点击领取	Claim
发现并练习新秘籍的数量	Number of manuals you have discovered and learned.
对话名称：{0}\n来源：{1}	Dialogue Name: {0}\nSource: {1}
{0:f0}秒	{0:f0} Sec
无法上传他人的存档文件!	Cannot upload other people's save files!
新建功能节点	Create New Feature
智能调整交易中的灵石数量使交易平衡。	Adjust the amount of spirit stones automatically to balance the trade.
转化	Conversion
在搬运之时，正在胡思乱想	Transporting goods; distracted by thoughts
{0}与{1}感情基础\n{2}	{0} and {1}'s emotional foundation.\n{2}
取消收藏	Collect Cancelled
早饭	Breakfast
[color=#9e6404]相关工作：[/color]\n收获植物\n种植植物	[color=#9e6404]Related work:[/color]\nHarvesting\nFarming
确定要覆盖存档{0}吗？	Are you sure you want to overwrite {0}?
鼎炉\n鼎炉之限：{0:F0}\n炼精化气：{1:F0}/{0:F0}\n阶段：{2}\n{3}\n\n[color=#D06508]炼精化气：修炼时消耗精元并提高灵气最大值。\n鼎炉之限：肉身所能承担炼精化气的最大数值，由先天潜力决定。[/color]	Inner Cauldron\nInner Cauldron Limit: {0:F0}\nRefinement Qi {1:F0}/{0:F0}\nPhase:{2}\n{3}\n\n[color=#D06508]Refinement Qi: Cultivation costs Stamina and increases Max Qi.\nInner Cauldron Limit: The maximum value of Refinement Qi a body can withstand. This value is decided by potential.[/color]
预览图不符合要求，请使用小于1MB的图片作为预览图	Your thumbnail failed to meet the requirements. Please use a picture less than 1mb.
这个秘籍正准备录入	This manual is ready to be transcribed.
不能放置在此处	Cannot be placed here.
需要建造小乾坤界才可打开小乾坤界空间。	You need to build a mini universe to get access to its inner space.
您已经完成了序章，[经典模式]和[太虚幻境]已解锁！\n现在您可以继续查看感兴趣的教学内容或者直接开始一场完整的游戏并自行探索。	You have finished the Prologue, Classic and Land of Illusion unlocked!\nNow you can check tutorials or a new game to explore by yourself.
重新激活	Reactivate
打开生产面板	Open the Produce menu.
{0}近日急需{1}，愿使用派内宝物{2}与你交换。	{0} is in need of {1} lately. The sect is willing to exchange with its treasure {2}.
查看教程将自动存档并离开当前游戏，您可以在结束教程后继续当前游戏，是否进入教程？	To check the tutorial, the game will be automatically saved and leave for the tutorial scene. You continue your game after the tutorial is over. Are you sure to enter?
尊敬	Respect
兽形态的弟子无法被传授	Disciples in beast forms are unable to receive teachings.
更新完成	Update complete
平心静气，准备修行	Calm; ready to begin meditating
天象圣威	Celestial Phenomenon Might
法宝胚胎进度MAX	Maximize Artifact Incubation Progress
在应天台凝结灵石时候，{0} 战胜争夺者 {1}，夺得了灵石。	When the Heaven Echo Altar is crystallizing, {0} beat {1} and won spirit stones。
滞留{0}次	Hover {0} times.
第{0}日	Day {0}
该角色不能再次作为目标了	This character cannot be targeted anymore.
木客	Logger
{2}数量限制：{0}({1}){3}\n	{2} Limit: {0} ({1}) {3}\n
护盾强度:	Barrier Power:
\n道行不够：{0}	\nToo low Attainment: {0}
{0}→[color=#999900]{1}(归元)[/color]	{0}→[color=#999900]{1} (Equivalent)[/color]
五行：相生\n	Five Elements: Connective\n
不太想照顾这个人，正准备偷懒	Slacking; doesn't really want to attend to this person
命令与行为	Order & Action
轮回者	Reincarnator
很好，现在建造一个寒晶鼎来改变我闭关处的五行属性。	Good. Now, build an Ice Crystal Cauldron and change the elemental attribute where I practice.
编辑角色形象。	Edit character avatar.
习得符咒：{0}	Learned Talisman: {0}
[政策] {0}\n	[Policy]{0}\n
装扮已全部还原!	All decorations have been fully restored!
正慢悠悠的走路	Walking slowly
秘密	Secret
你好	Hello
你已经离开硬核模式	You have exited Hardcore.
是否确认购买{0}	Confirm Purchase {0}?
影响炼器时的速度，炼器产品的质量，炼器成功率以及炼器品阶加成。	Affects speed, product quality, success rate and tier bonus of artifact crafting.
宛如仙境	Wonderland
轻身符	Agility Talisman
在筑基时略有所得，喜上眉梢	Training foundation; feels happy for having learned something
\n{0}{1:F0}  {2}等级	\n{0}{1:F0}  {2}Level
选择建造地点 	Select build location 
禁足	Freeze
等待师父{1}完成{0}。	Waiting for Master {1} to complete {0}.
<font color=#FF0000>不可选中</font>	<font color=#FF0000>Not Selectable</font>
角色获取他人好感的能力，包括外在容貌与内在气质，影响角色的社交能力。	Charisma (CHA): Kemampuan karakter untuk mendapatkan dukungan dari orang lain, termasuk penampilan dan watak mereka. Memengaruhi kemampuan sosial karakter.
化形天劫	Shapeshifting Tribulation
生成山川	Generating the land
神民数量\n神民数量会根据门派影响力增长，实现心愿也可能增加神民。\n当前数量大于最大数量会导致怨气累加。	Number of Divine Residents\nThe number of divine residents will increase according to the influence of the sect. Realizing their wishes may also increase the population. \nIf the population exceeds the maximum number of residents, hatred will begin accumulating.
{0}可能会出现 {1}	{0} might appear at {1}
无可用弟子	No available disciple
弱	Weak
乱舞概率：{0:P2}	Ranbu Chance: {0:P2}
在筑基间余，刚小憩片刻	Training foundation; taking a break
在建筑工作之时，正感觉有点无聊	Constructing; feels a bit bored
湖怪钓者	Lake Monster Catcher
[练功]自主进行练习，获取较多参悟经验。	[Train] Trains automatically for increased Inspiration XP.
查看情绪面板	Check the Mood menu.
{0}{1}  {2}经验	{0}{1}  {2}XP
{0}尝试使用了{1}，没有效果，便放回了背包	{0} failed in an attempt to use {1} and then put it back in the bag.
风水堪舆	Feng Shui
正匆匆赶路	Walking hurriedly
道行阳:{0}\n道行阴:{1}\n{2}	Yang Attainment:{0}\nYin Attainment:{1}\n{2}
\n生长百分比:{0:N1}%	\nGrowth: {0:N1}%
金属性	Metal Element
[心境]持续调整心境直到心境无暇	[Mind] Continue to adjust mental state until Pristine Mind.
练气	Shaper
搜索	Search
解锁一格遗物空间	Unlock one relic space
这个道具似乎已经损坏了	This item seems to be broken.
此处不可建造！	Cannot build here!
生成角色	Generate Character
众门人	All Disciples
工具面板	Tool Panel
编辑队列。	Edit Queue.
神通图鉴需要玩家阵营的角色亲自学习来点亮。	To unlock the contents of Miracle Encyclopedia, you need characters of your faction to personally learn them.
觉得筑基艰难，正有点灰心	Thinks foundation training is difficult; feels discouraged
华丽	Magnificent
defName=>{0} {1} 缺少丹药相关配置项，请重新检查配置！	defName=>{0} {1} missing drug-related configuration, please recheck configuration!
心斋时长：{0}天	Mind Fasting Duration: {0}d
正心无旁骛的制药作业中	Concentrates on making medicine
已经被使用	Has already been used.
有家可归	Home Sweet Home
上午	Morning
不会自主处理，交给玩家手动选择。	Will not be automatically handled. The player shall select manually.
某地	Somewhere
非常抱歉！因为大量数据的改变导致上古之兽版本不再支持之前的存档。\n但我们为上古之兽(0.95)前的版本提供了新的开局模式[color=#D06508][轮回开局][/color]。\n轮回开局会延续旧存档的部分故事和数据，您可以通过读取旧存档开始全新的故事！	Sorry! Due to the massive change of data, the Ancient Beast version no longer supports previous saves.\nBut we have prepared a new mode, [color=#D06508][Reincarnation][/color], for any version prior to the Ancient Beast (0.95).\nIn Reincarnation, part of the story and data from your previous save will be continued. You can start a whole new story by loading your previous save.
天苍 {0}年 {1}日	Day {1}, year {0} of Tiancang Era
[color=#ff0000]游戏速度[/color]是一项重要功能，你可以通过屏幕右下方的按钮来调整游戏速度。\n[color=#9e6404]可以点击暂停按钮进行暂停，暂停状态下也可以正常发布命令[/color]	[color=#ff0000]Game Speed[/color] is an key feature that can be adjusted via the buttons at the bottom-right of the screen.\n[color=#9e6404]Click the pause button to pause the game - you can still give commands normally while paused[/color]
{1}获得参悟经验：{0:F0}点	{1} Obtained Inspiration XP: {0:F0}
接招，看我太虚神剑！！	Taste my Celestial Sword!
在修行之时，正感觉杂念丛生	Meditating; distracted by thoughts
{0}\n[color=#FF0000]<ti tip='阵法每秒消耗灵气大于阵眼灵气的0.5%'>以下角色负担较大：\n{1}</ti>[/color]	{0}\n[color=#FF0000]<ti tip='Qi cost per sec of this formation is more than 0.5% of the auxiliary character's Qi'> The following character will be under stress: \n{1}</ti>[/color]
阵枢角色未设置，无法布阵	Unable to form the formation for no character has been selected as the pillar.
指定元灵	Select Primordial Souls
下	Down
已达到购买次数上限,请勿重复购买	Times have reached the limit. Please do not purchase
移除这个植物	Remove this plant.
证据	Evidence
门派已死亡弟子个数	The total number of deceased disciple.
万	Ten Thousand
开启灵智\n灵智碎片：{5}/({3}-{4})个\n精元容量：{0:F0}/{1:F0} ({2:F0}%)	Awaken Intelligence\nIntelligence Shard:{5}/({3}-{4})\nStamina capacity: {0:F0}/{1:F0} ({2:F0}%)
契合	compatible
环境生态	Environment & Ecology
悟性	INT
图片已经保存到手机相册：\n({0})	The image has been saved to the phone's gallery:\n({0})
更换当前天气与季节	Change current weather and season
开启\n灵智	Awaken\nIntelligence
太虚傀儡	Void Puppet
灵气容量 : {0:N0}	Qi Capacity: {0:N0}
尸·	Corpse:
怀孕中	Pregnant
应天台正在闪烁着光芒\n（灵石已经凝聚完成，可以凝取）	Heaven Echo Altar is shinning\n(Spirit Stones Crystallized and can collect)
\n但似乎是伪造的，效果大打折扣。	\nBut it seems to be a fake and its effects are greatly diminished.
搬运时连续手滑，差点弄伤自己，正感觉有点生气	Keeps dropping the goods and almost got hurt; feels angry about it
冒险模式	Adventure Mode
保存失败,请开启手机相应权限	Save failed, please give permission to the game.
新武器	New Weapon
领取的应天奖励将在返回门派以后获得。	Will gain Heaven Echo Altar rewards after back to sect.
豪华	Luxurious
正在乐呵呵的拆迁建筑中	Happily demolishes buildings
兑换失败,数据校验失败,请联系客服处理	Redemption failed, data verification failed, please contact Customer Service
危险未知	Unknown
外门及内门	Both
云存档数量超过上限,同步存档前需要先取消部分云存档同步!	The number of cloud saves has exceeded the limit. Please cancel the synchronization of some cloud saves before proceeding with the synchronization!
心如止水	Good-tempered
喂食	Feed
小有名气	Acknowledged
光烛妥帖	Lighting
铁匠	Smith
修炼相关	Cultivation Related
上传失败！{0}	Upload failed!{0}
\n\n{0}指定	\n\n{0} Select
第{0}页	Page {0}
该热键存在重复注册	This hotkey is already in use.
房间风水与房内风水建筑的风水有关，此外还因使房间[color=#ff0000]布局[/color]处于恰当状态，无论拥挤或空旷都会影响房间风水。	A room's Feng Shui is affected by the facilities in it, as well as its [color=#ff0000]layout[/color]. That is to say, whether a room is cramped or spacious also affects its Feng Shui.
准备讲道	Prepare to Give a Lecture
抱起:{0}	Carry: {0}
将灵石送人。大部分凡人都不认识灵石。	Give others spirit stones. Most mortals do not know about spirit stones.
\t无	\t None
\n[color=#D06508]治疗效果不好或自身恢复力太差，请提高治疗效果或自身恢复力。[/color]	\n[color=#D06508]Healing too low or Resilience too poor. Increase Healing or Resilience.[/color]
放点	Arranging
阅读	Read
受到天道异动影响，	Affected by the Heavenly Chaos,
正在准备工具，去执行修理建筑	Preparing tools for repairing buildings
事件	event
辰时,早食之刻,日初之时,生气苏始	It is about 7:00–9:00, workers are scurrying to and fro
请选择一个置物台	Select a Display.
旧的傀儡将会被替换掉，确定要继续吗？	The old vessel will be replaced. Do you want to continue?
新建蓝图	Create new blueprint
无库存	None in inventory
载入数据:{0}/{1}	Loading data: {0}/{1}
{0}已达到最大等级	{0} has reached the maximum level.
当前效果:\n{0}	Effect:\n{0}
随机秘籍	Random Manual
升级	Upgrade
已经有相同的名称的对话项目，是否覆盖？	Another dialogue project exists under the same name. Do you wish to override?
阵图：{0}	Plan: {0}
{0}能量	{0} Energy
刚从矿坑里出来，正在擦汗	Leaving the mine; wiping off sweat
{0:F1}秒	{0:F1}sec
结束今天的练习护体功课，正疼的直咧嘴	Has finished today's protection training; grimaces in agony
交谈	Talk
思考中，剩余{0:N0}秒	Thinking, {0:N0} sec remaining
{0}\n\n点击打开功法修行面板	{0}\n\nClick to open the Path & Cultivation menu.
参悟一次秘籍。（通过修炼面板-参悟进入参悟树来参悟秘籍。）	Learn a manual. Head to Cultivation -> Inspiration and then go into the Inspiration Tree to learn a manual.
(建造中)	(Constructing)
金劫	Metal Tribulation
溜了溜了	See ya.
失去{0}	Lost {0}
芸芸众生	Medium
正在下载 ： 0	Downloading: 0
{0} 被 {1} 邀请进行战斗，获得了胜利。	{0} is invited by {1} for a fight and win.
理智	Rationality
放纵	Indulgence
开采:{0}	Mine: {0}
在锻造之时，正感觉有点无聊	Forging; feels a bit bored
已经被其他角色绑定	Is soulbound to another character.
选择政策	Choose Policy
{0}\n已失去	{0}\nLost
\n[color=#FFA900][阵法真意][/color]	\n[color=#FFA900][Truth of Formations][/color]
增减平衡	Balanced
请长按并框选范围!	Please long press and drag an select area.
法宝炼制结果面板	Artifact forge result panel
种族名字	Race Name
任意大小的	Any Size
{0}\n[color=#669900]永久有效[/color]	{0}\n[color=#669900]Available Permanently[/color]
强化术法伤害{0:P0}	Empower Spell Damage {0:P0}
移动({0:P0})\n下肢受伤会影响该值，移动影响走路速度和一些体力工作的效率。	Move ({0:P0})\nThis value is affected when a character's legs take damage. Movement affects walk speed and work efficiency for some physical work.
此阵法天下间独此一份！	This formation is unique in the world!
门派规模达到洞天才可以建立分堂。	Your sect size must have reached Paradise before you can establish a branch.
杀死{0}({1:N0})个生灵	Kills {0} ({1:N0}) creatures
开炉炼丹	Alchemy Beginner
发现秘籍：{0}本	Manuals Discovered: {0}
藏经阁剩余空间不足!	The pavilion storage is not enough!
施展神通	Perform Miracle
无法记下更多的片段	Unable to memorize any more shards.
\n[color=#D06508][点击取出][/color]	\n[color=#D06508][Click to withdraw][/color]
在拆地板间余，刚小憩片刻	Removing floor; taking a break
记录世界	Recording world
正哼着小调搬运什么东西	Transporting goods while humming a cheerful tune
确定抹去此评论吗？	Are you sure you want to erase this comment?
无法切换秘体!	Cannot switch secret body!
使用次数可通过{0}获得,是否前往购买?	The number of uses can be obtained by {0}, do you want to buy it?
{0} 前生效	Effective before {0}
伐木	Cut Wood
\n此模组含有DLC{0}的内容	\nThis MOD contains content from DLC: {0}
修行不顺，觉得有点灰心	Meditation is not going well; feels somewhat frustrated
独本遗册	Only Existing Copy
<font color=#FF0000>此蓝图需要安装以下DLC:</font>	<font color=#FF0000>This blueprint needs the following DLC installed:</font>
更换天气	Alter weather
心境不稳	Unstable
CloudSave->开始删除云存档:{0}	CloudSave->Start Deleting Cloud Save: {0}
战斗中	In battle
{0}执行 选项{1} 的 {2} 结果时报错\n	Result error when executing {0} option {1}'s {2}.\n
你可以通过屏幕左上角的太极图来进入风水视图，在风水试图下，屏幕中央的五边形即为鼠标所在位置的五行分布。	You can enter Feng Shui View via the Taiji icon in the top-left corner. When using Feng Shui View, pointing your cursor at anything will display a five elements layout of the area.
在修理建筑间余，刚小憩片刻	Repairing buildings; taking a break
传道境	Pilgrim State
微乎其微	Insignificant
在收获之时，正感觉有点无聊	Harvesting; feels a bit bored
未使用配置	Configuration Not Used
失去控制	Lost Control
在练习秘法时，突然走神	Practicing a secret Law; daydreaming
数日逃亡之后……	Beberapa hari setelah pelarian…
原木	Wood
{0:N0}度	{0:N0}℃
谷	Valley
所谓风水，指的是目标建筑五行属性，与所在位置五行分布的融洽关系。\n例如：[color=#ff0000]火属性[/color]的建筑在[color=#ff0000]水属性[/color]的环境中，就会因[color=#ff0000]水克火[/color]的原因而风水不好。\n[color=#ff0000]火属性[/color]的建筑在[color=#ff0000]木属性[/color]的环境中，因[color=#ff0000]木生火[/color]之故，风水就会很棒。\n在屏幕左上角可以随时查看五行生克关系。	Feng Shui refers to a building's element and the harmonic balance of the location's five elements.\nExample: [color=#ff0000]Fire[/color]-element buildings in a [color=#ff0000]Water[/color]-element environment will have bad Feng Shui as [color=#ff0000]Water extinguishes Fire[/color].\n[color=#ff0000]Fire[/color]-element buildings in a [color=#ff0000]Wood[/color]-element environment will have great Feng Shui as [color=#ff0000]Wood fuels Fire[/color].\nYou can view how the five elements interact with each other at any time in the top-left corner.
正在享受照顾别人的幸福中	Enjoys caring for another person
金石	Mining
重载Modifier	Reload Modifier
建造水井，以获得干净的水源。	Dig a well to acquire a source of clean water.
消耗25点香火值，随机为一个物品提高1~4阶品阶，最高不超过12阶。	Costs 25 Incense. Increases an item's tier by 1-4 levels, but cannot raise an item above tier 12.
神物	Divine Relic
角色按钮显示\n左键点击:\n显示内门:{0}\n显示外门:{1}\n\n右键点击:\n简易模式:{2}	Character Display\nLeft-Click:\nShow Inner: {0}\nShow Outer: {1}\n\nRight-Click:\nSimple Mode: {2}
易	Easy
简陋	Bareboned
{0}[{6}]\n灵气:{7:N0}\n健康:{1:P0}\n饥饿:{2:N0}\n口渴:{3:N0}\n精力:{4:N0}\n情绪:{5:N0}	{0}[{6}]\nQi: {7:N0}\nHealth: {1:P0}\nHunger: {2:N0}\nThirst: {3:N0}\nEnergy: {4:N0}\nMood: {5:N0}
不能使用	Unavailable
随机普通矿	Randomize Common Ores
阵法稳定度不足，无法布阵	Unable to form formation due to insufficient stability.
赛季结束	Season End
任务失败	Quest Failed
有资源未下载完成，退出将被取消，确定要退出吗？	Some resources have not yet been downloaded. Exiting now will cancel the download. Exit?
木属性伤害减免: {0:P3}	Wood Damage Reduction: {0:P3}
处在瓶颈状态不突破累积{0}({1:N0})秒	Remain at a breakthrough state without performing breakthrough for {0} ({1:N0}) sec
{0} 搬运中\n	{0} is being transported\n
\n[color=#B65704]耗时较长[/color]	\n[color=#B65704]Take a long time[/color]
<font color=#D06508>[仓库含有]</font>	<font color=#D06508>[Storage]</font>
补丁版本提升	Patch Version Updated
目标阵营	Target Faction
辩论，或是做坏事。	Debate or prank.
水属性	Water Element
代理名	Agency Name
背包格已满	Full slots.
类型:	Type:
